time,max_creep_strain,max_plas_strain,max_y_disp,min_creep_strain,min_plas_strain,react_y
0,0,0,0,0,0,0
0.02,0,0,4.4926620731594e-08,0,0,1.9012736971051e-58
0.04,0,0,5.2629312420676e-07,0,0,-0.00010108729510224
0.06,1.8791214358114e-11,0,1.8477539879619e-06,0,0,-7.0808754727115
0.08,2.4030281743982e-10,0,3.2659045145867e-06,0,0,-15.44492061825
0.1,2.1681850696578e-09,0,4.9042816022768e-06,0,0,-28.298292514929
0.12,7.7218605007803e-09,0,5.9644285926253e-06,0,0,-36.928783010799
0.14,2.4009720771366e-08,0,7.3042903049336e-06,0,0,-44.11786194724
0.16,5.833361158905e-08,0,8.5894382283379e-06,2.9333887212419e-12,0,-55.646718480994
0.18,1.2183634969489e-07,0,9.6661519818315e-06,9.7808863660933e-12,0,-59.632541708706
0.2,2.399577976236e-07,0,1.1040090948429e-05,2.6617475602459e-11,0,-72.251760030041
0.22,4.4114357808656e-07,0,1.2228077565238e-05,5.2119014363638e-11,0,-77.00283202296
0.24,7.6026447057499e-07,0,1.3515210963259e-05,1.0936933795523e-10,0,-89.988944865014
0.26,1.2496471843618e-06,0,1.4745702894846e-05,1.8283616887536e-10,0,-95.351909013441
0.28,1.9852551085876e-06,0,1.6117431084421e-05,3.1126704336911e-10,0,-107.42756757975
0.3,2.9971026267848e-06,0,1.7174319790045e-05,4.6247950121968e-10,0,-111.54218926808
0.32,4.5978146031825e-06,0,1.8902833275774e-05,7.3614074396547e-10,0,-126.54769876386
0.34,6.4980304903195e-06,0,1.9558951717927e-05,1.0287509758416e-09,0,-128.85325888733
0.36,9.1428716727743e-06,0,2.1088489203504e-05,1.4362209232432e-09,0,-138.6006957847
0.38,1.2603728475006e-05,0,2.2423334657429e-05,2.0478380558461e-09,0,-151.27618085893
0.4,1.6921045176664e-05,0,2.35242974704e-05,2.7225543733852e-09,0,-154.88009212223
0.42,2.2947656881822e-05,0,2.5236933788511e-05,3.7882137956417e-09,0,-170.65380176194
0.44,2.9722725852021e-05,0,2.5863033854052e-05,4.8507999875408e-09,0,-171.05638430449
0.46,3.851155918306e-05,0,2.7511241318753e-05,6.2647203885468e-09,0,-182.06943995107
0.47,4.3149576235136e-05,0,2.7795112979461e-05,7.0314303152905e-09,-6.3585495431261e-07,-185.36682535254
0.48,4.7820085864467e-05,5.5371577389071e-05,2.8699955725567e-05,7.8981496732207e-09,-7.2936266507847e-07,-190.40666209291
0.4825,4.8984693978593e-05,6.076695958467e-05,2.8708193569455e-05,8.1147477276889e-09,-5.1018486611486e-07,-190.48612711672
0.485,5.0146283594973e-05,7.2617312365451e-05,2.8777497102277e-05,8.3343287836823e-09,-9.7925231119801e-07,-191.12309514634
0.4875,5.1304884527021e-05,8.7797180234622e-05,2.8894712772398e-05,8.5599267897014e-09,-5.6443424151412e-07,-192.21892759998
0.4925,5.3610221430684e-05,0.00013986773034413,2.9312399147484e-05,9.0463227206702e-09,-4.978286032016e-07,-195.33905095502
0.49375,5.4185827440628e-05,0.00014422918306068,2.9319564920221e-05,9.1679835684562e-09,-6.7564425283427e-07,-195.39784572187
0.495,5.4760697540493e-05,0.00015626098490802,2.9361293680124e-05,9.2899522804416e-09,-2.0298497090168e-06,-195.57803328171
0.4975,5.5907462652491e-05,0.00023444251782391,2.9657659836056e-05,9.5429368724264e-09,-8.5920093922482e-07,-197.12949488097
0.498125,5.6193971233143e-05,0.00026238503996704,2.9741844654126e-05,9.6065706602859e-09,-1.2471644905042e-06,-197.34282079318
0.49875,5.6480289961893e-05,0.00032220234737561,2.9899925939976e-05,9.6710234097395e-09,-6.281357697926e-07,-197.85069224541
0.5,5.7052209698028e-05,0.00050671990069066,3.0323527020918e-05,9.802049575676e-09,-2.0517461885652e-07,-198.57654162147
0.52,6.6025313886723e-05,0.00051161129303465,3.03594916082e-05,1.1847985015204e-08,-1.92476763216e-07,-198.39335928089
0.5792,9.1191486738614e-05,0.00052143336458941,3.0469372915096e-05,1.7422937756221e-08,-1.92476763216e-07,-197.12108939835
0.623008,0.00010914772050338,0.00054101478280053,3.06479308049e-05,2.1446881065695e-08,-4.6170895573051e-07,-197.56982788153
0.68828192,0.00013460257070019,0.00055929480707837,3.0820638531484e-05,2.7133788439554e-08,-4.6170895573051e-07,-197.25687769166
0.76621144,0.00016340568140279,0.00057790799972655,3.1003299812654e-05,3.3570868560036e-08,-4.6170895573051e-07,-197.1373474063
0.8000723414,0.00017565310559734,0.00058045884345627,3.1076072659607e-05,3.6334220635483e-08,-4.6170895573051e-07,-197.56971926111
0.876090065043,0.00020192848509916,0.00059510361878348,3.1264867530579e-05,4.2202890989484e-08,-4.6170895573051e-07,-196.85442247786
0.92341109801077,0.00021786023104692,0.00060090212662423,3.1376408503361e-05,4.5805399792427e-08,-4.6170895573051e-07,-197.54786326445
0.97652895751709,0.00023525032510035,0.00061239281354647,3.1508545213961e-05,4.9731128622005e-08,-4.6170895573051e-07,-197.28229752323
1.9305257142506,0.0004573976306444,0.00066229973515773,3.3059072956731e-05,1.024978118188e-07,-4.6170895573051e-07,-198.22188371809
2.0555257142506,0.00048562457949991,0.00067203047478952,3.3172868825793e-05,1.0903539041224e-07,-4.6170895573051e-07,-197.31108580324
